EnslavedPersonFirstName,EnslavedPersonLastName,Year,Gender,Age,Valuation,NotableFacts,Network,SlaveOwnerFirstName,SlaveOwnerLastName,SlaveOwnerOccupation,SlaveOwnerPlottedLocation,SlaveOwnerNumberSlavesHeld,NumberSlavesSued,NumberSlavesRanAway,Source1,Source2,Source3,Notes
Edward ,Queen,1791,,,,"Edward Queen brought a suit against John Ashton for assault and battery and false imprisonment in 1791. The court ruled in favor of the slave. Twelve members of his family ran away in 1795. Ten other of the remaining family members, including Edward, of the family petitioned Prince George's County Court for freedom in 1796 and were manumitted.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,Edward's petition for freedom: https://slaveryarchive.georgetown.edu/items/show/35
Simon,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit. He then obtained freedom through the court.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years. He was also witness for Priscilla Queen (who sued Rev. Francis Neale in 1810).",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,http://earlywashingtondc.org/doc/oscys.case.0025.003,,
Billy,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Jack,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Lewis,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Isaac,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Paul,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Matthew,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Tom,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Billy,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,"16501 Annapolis Rd, Bowie, MD 20715",82,,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
