FirstName,LastName,Year,Gender,Age,Valuation,NotableFacts,Network,SlaveOwnerFirstName,SlaveOwnerLastName,SlaveOwnerOccupation,SlaveOwnerNumberSlavesHeld,Link,LinkDescription,AdditionalLinks,PrintedSource
"Susanna ""Sucky""",Queen,1815,,,,"Sucky sued John Ashton for freedom on the same grounds as the other Queens in 1796. In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensils, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children. The ""Early Washington DC"" website (http://earlywashingtondc.org/families/queen) also cites the fact that Ashton was accused by the Jesuit order of an illicit relationship with Sucky Queen and fathering two children with her, but we have been unable to locate any primary source evidence for this claim.","Mother of Charles and Elizabeth Queen, presumably the same people mentioned in Ashton's will.",John,Ashton,Jesuit missionary,82,http://earlywashingtondc.org/families/queen,,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62."
Simon,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit. He then obtained freedom through the court.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years. He was also witness for Priscilla Queen (who sued Rev. Francis Neale in 1810).",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,http://earlywashingtondc.org/doc/oscys.case.0025.003,
Charles,Mahoney,1791,,,,"Sued John Ashton on the grounds of being descended from a free woman named Ann Joice in 1791. The case was postponed until 1795, when the judge ruled in Mahoney's favor, but the decision was appealed. Mahoney and his brother Patrick fled from Ashton in 1798. They petitioned for their freedom in 1802 and were manumitted in 1804.","Descendant of Ann Joice, a free woman who came to Maryland as an indentured servant.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,http://earlywashingtondc.org/doc/oscys.mdcase.0008.054,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62."
Charles,Queen,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensils, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.","Son of Susanna Queen, brother of Elizabeth Queen.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62."
Elizabeth,Queen,1815,,,,"In his will, John Ashton left Charles and Elizabeth Queen, children of Susanna Queen, a plot of land in Charles County, horses, hogs, cattle, utensils, as well as a man named Buttler, a woman named Linny, and her children. Eric Papenfuse speculates that Ashton may have fathered Susanna Queen's children.","Daughter of Susanna Queen, sister of Charles Queen.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,"Eric Papenfuse, ""From Recompense to Revolution: Mahoney v Ashton and the Transfiguration of Maryland Culture, 1791-1802,"" Slavery and Abolition 15, no. 3 (December 1, 1994): 38-62."
Billy,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Jack,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Lewis,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Isaac,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
Paul,Queen,1795,,,,"Ran away in 1795, following Edward Queen's lawsuit.","Descendant of Mary Queen, a free woman of color who came from England and was unlawfully enslaved for 7 years.",John,Ashton,Jesuit missionary,82,https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/041700/041715/html/041715bio.html,,,
