ID,SubscriberID,ShinyName,SubscriberNoCopies,SubscriberLocation,SlaveOwner,NumberSlaves,PlantationSize,NetworkNote,ShinyDates,Priest,Group,NetworkSize
1,9999,Rev. John Carroll,1,Baltimore,1,at least 2,1 to 19,Bishop of Baltimore,1735-1815,1,Clergy,28
2,10001,Rev. John Ashton,2,White-Marsh,1,82,50 to 99,Jesuit missionary. Head of White Marsh Mission. Procurator General of the United States. One of the founders of Georgetown University. One of the founders of the Corporation of the Roman Catholic Church Clergymen (est. 1792).,1742-1815,1,Clergy,10
3,10002,Rev. Francis Beeston,2,Bohemia,1,49,20 to 49,"Bohemia Plantation priest. John Carroll eulogized Beeston as one ""with whom he had long resided, and by whom he was constantly aided and relieved in his arduous offices, whom he cherished as a faithful counsellor and companion.""",1751-1809,1,Clergy,1
4,10011,Rev. John Bolton,1,Talbot County,1,11,1 to 19,English born Jesuit priest. Succeeded Rev. Joseph Mosley at St. Joseph's Mission in 1787.,1742-1809,1,Clergy,1
5,10015,"William Chandler Brent, Esq.",1,Charles County,1,29,20 to 49,"Father of Mother Agnes Brent, who served as Superior at Georgetown, Kaskaskia, St. Louis, and Mobile.",1768-1807,NA,Lay,1
6,10016,"Baker Brooke, Esq.",1,Charles County,1,20,20 to 49,"The property Baker Brooke  owned would become the sight of the first convent of religious women in America (Mount Carmel), founded 4 miles from Port Tobacco in 1790. Brooke was paid for the land, but he gave the house to the order and to Rev. Charles Neale as a present.",NA,NA,Lay,1
7,10022,"Daniel Carroll, Hon., Esq.",1,Rock Creek,1,53,50 to 99,"Older brother of Bishop John Carroll. Cousin of Charles Carroll. Friend of George Washington.Member of the Maryland State Senate. Signer of the Constitution of the United States. In 1791, Washington appointed him to the commission to determine the exact location of the District of Columbia, which ended up being almost exclusively on Daniel Carroll's land.",1730-1796,NA,Lay,3
8,10023,"Charles Carroll [of Bellevue], Esq.",1,Hagers-town,1,33,20 to 49,Cousin of Charles Carroll of Carrollton. Friend of James Monroe and James Madison. Responsible for evacuating Dolly Madison from the White House in 1814.,1767-1823,NA,Lay,3
9,10024,"Charles Carroll [of Carrollton], Hon., Esq.",1,Carrollton,1,315,over 100,"The only Roman Catholic signer of the Declaration of Independence. Later Maryland Senator. Cousin of Charles Carroll of Bellevue, Bishop John Carroll and Daniel Carroll.",1737-1832,NA,Lay,3
10,10025,Peter [Pedro] Casanave,1,George-town,,0,,Prominent Spanish merchant who served as the fifth mayor of Georgetown. He buried the first stone in what would later become the White House in 1792. He married Notley Young's daughter Ann.,c. 1766-1796,NA,Lay,2
11,10034,"George Digges, Esq.",1,"Warburton, Patowmack",1,105,over 100,"Friend of John Carroll. Friend of Notley Young, for whom he left property and land in his will. Son of William Digges.",1743-1792,NA,Lay,2
12,10035,Rev. Thomas Digges,1,Prince George's County,,Unknown,,Digges servedd as witness to Edward Queenês petition for freedom from John Ashton in 1791.,1711-1805,1,Clergy,2
