SubscriberLastName,SubscriberFirstName,SubscriberTitle,SubscriberLocation,PlottedLocation,NumberSlaves,ShinyNote
Ashton,John,Rev.,White-Marsh,"16501 Annapolis Rd, Bowie, MD 20715",82,Irish born Jesuit missionary. White Marsh plantation. One of the founders of Georgetown.
Beeston,Francis,Rev.,Bohemia,"1445 Bohemia Church Road, Warwick, MD",49,"English born Jesuit priest. Superior at Bohemia plantation, later transferred to Baltimore. Bishop John Carroll eulogized Beeston as one ""with whom he had long resided, and by whom he was constantly aided and relieved in his arduous offices, whom he cherished as a faithful counsellor and companion."""
Bennett,Richard,,[unspecified],"St. Mary's County, MD",9,NA
Bevans,Leonard,,Hagers-Town,"Hagerstown, MD",Unknown,NA
Blake,Charles,Esq.,"Queen Anne's County, MD","Blakeford Ln, Centreville, MD 21617",58,Father of John Sayer Blake.
Blake,John Sayer,Esq.,[unspecified],"Queen Anne's County, MD",63,Son of Charles Blake.
Boarman,Eleanor,Miss,Charles County,"Charles County, MD","10 or 11, depending on which Eleanor Boarman she is in the census.",NA
Boarman,Henry,,[unspecified],"Charles County, MD",17,"In her 1790 will, Henry Boarman's mother Mary Pile left ""1000 lbs of tobacco to be paid to the Revd Mr. Francis Neale, for him to dispose of to the Poor as he may think proper."" Source: http://colonial-settlers-md-va.us/getperson.php?personID=I003076&tree=Tree1"
Boarman,Joseph,,near Piscataway,"Piscataway, Prince George's County, MD",30,"Brother of Rev. John C. Boarman, a Catholic Priest."
Boarman,Raphael,,"Charles County, MD","Cornwallis Neck, Charles County, MD",12,"Brother of Rev. John C. Boarman, a Catholic Priest."
Bolton,John,Rev.,Talbot County,"13209 Church Lane, Cordova, Maryland 21625",11,English born Jesuit priest. Succeeded Rev. Joseph Mosley at St. Joseph's Mission in 1787.
Boulton,Richard,,St. Mary's County,"St. Mary's County, MD",Unknown,"Craftsman who was recommended to George Washington for work on Mount Vernon in 1785, but Boulton never fulfilled the contract because his creditors threatened to arrest him if he were to leave the state of Maryland."
Bourke,Edward,,Caroline county,"Caroline County, MD",5,NA
Brawner,Elizabeth,Mrs.,Frederic county,"Frederick County, MD",4,NA
