SubscriberSource,SubscriberLastName,SubscriberFirstName,SubcriberMiddleName,SubscriberTitle,SubscriberNoCopies,SubscriberLocation,PlottedLocation,State,LocationConfidenceLevel,PlottedLocation_Latitude,PlottedLocation_Longtitude,PlottedLocation_Note,PlottedLocation_Link,Preceeding Location ,CensusDate,CensusLastName,CensusFirstName,CensusAddress,CensusCity,CensusWard/ County,CensusNumberOfHouseholdMembers,Under 16,Over16,Females,Slaves,All other Free Persons,Notes,SK_Notes,YearBorn,Place Born,YearDied,Age in 1790,YearArrivedinUS,Occupation,SlaveOwner,NumberSlaves,Network
Badin Bible,Ashton,John,,Rev.,2 copies,White-Marsh,"16501 Annapolis Rd, Bowie, MD 20715",MD,Point,,,Rev. John Ashton was posted at the White Marsh plantation. Sacred Heart Church now stands where the White Marsh chapel used to be., https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/020400/020400/html/020400sources.html,,1790,Ashton,John,,,"Prince Georges, Maryland",3,,3,,82,,"See Jay P Dolan, The American Catholic Experience (1985), p 87 for location of White Marsh farm, where Ashton lived. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363.",Year of birth approximate. Jesuit missionary; slave owner; one of the founders of Georgetown University. Source (including a lot on his relationship with the enslaved people): https://msa.maryland.gov/msa/speccol/sc5400/sc5496/041700/041715/html/041715.html,1742,Ireland,1815,48,1767,Jesuit missionary,1,82,Rev. John Lewis; Rev. James Walton; Rev. Robert Molyneaux; Rev. John Carroll
Badin Bible,Beeston,Francis,,Rev.,2 copies,Bohemia,"1445 Bohemia Church Road, Warwick, MD",MD,Point,,,"Rev. Franciso Beeston, S.J., was Superior at Bohemia from 1790 to 1793. See Joseph C. Cann, History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland (Bohemia Plantation: The Society, 1976), p. 151.",https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-335.pdf,,1790,Fras,Beaston,Middleneck Hundred,,"Cecil, Maryland",51,,1,1,49,,"SK: ""Bohemia"" refers to the Bohemia mission in MD, not the place in the Czech Republic.",http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,1751,England,,39,1809,Jesuit priest,1,49,"Bohemia Plantation. Later Baltimore. John Carroll eulogized Beeston as one ""with whom he had long resided, and by whom he was constantly aided and relieved in his arduous offices, whom he cherished as a faithful counsellor and companion."" See E. I. Devitt, “Bohemia: Mission of St. Francis Xavier, Cecil County, Maryland,” Records of the American Catholic Historical Society of Philadelphia 24, no. 2 (1913): 97–139."
Badin Bible,Bennett,Richard,,,,[unknown],"St. Mary's County, MD",MD,County,,,,,,1790,Bennett,Richard,Unknown township,,"St. Mary's Couty, Maryland",14,1,1,3,9,0,"There are two by this name, neither from Baltimore.","Just one Richard Bennett comes up in my search of the 1790 census. In 1796, there is a newspaper notice about the land of ""the late Mr. Richard Bennett,"" but that land is in Frederick County: https://www.newspapers.com/image/41044882/?terms=%22Richard%2BBennett%22",,,,,,,1,9,
Badin Bible,Bevans,Leonard,,,,Hagers-Town,"Hagerstown, MD",MD,City,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,"His last name is spelled differently in different sources, e.g. Bevens in a newspaper ad re: selling his property in 1813 (upon his death), see here: https://www.washcolibrary.org/assets/documents/HagerstownNewspapers1810-1814.pdf. In the 1800 census, a Leonard Bevins is living 20 miles west of Hagerstown, so likely the same guy. Also: ""In 1808 Leonard Bevans, a resident of the area, donated one and one quarter acre of land to the Roman Catholic Diocese of Baltimore 'for the better convenience and advantage of the Roman Catholics residing in the neighborhood of Fifteen Mile Creek.'"" Source: MD Historical Trust Inventory Form for State Historic Sites Survey, https://mht.maryland.gov/secure/medusa/PDF/Allegany/AL-I-A-054.pdf",,,1813,,,,,,
Badin Bible,Blake,Charles,,Esq.,,"Queen Anne's County, MD","Blakeford Ln, Centreville, MD 21617",MD,Point,,,"Blakeford was the home of Chalres Blake. The original building has burned, by MD Historical Trust records identify the mansion's approximate location. See Edward B. Carley, The Origins and History of St. Peter's Church, Queenstown, Maryland, 1637-1976 (Centerville, MD: Carley, 1976), p. 30.",https://mht.maryland.gov/secure/medusa/PDF/Queen%20Annes/QA-114.pdf,,1790,Blake,Charles,Queen Anne's,Queen Anne's,,69,2,3,6,58,0,,"Pretty certain the Blakes are the owners of Blakeford, MD. If that is the case, there is quite a bit about this family, including how this Charles lost the estate. See here: https://msa.maryland.gov/megafile/msa/speccol/sc5800/sc5881/000001/000000/000200/pdf/msa_sc_5881_1_200.pdf. In 1790, a Chales Blake was sailing the Wye River with his two sons ""and a negro boy"" in addition to another man and his son when the boat overturned. The men and one of the boys survived, but the two younge sons and the black boy drowned: https://www.newspapers.com/image/38353176/?terms=%22Charles%2BBlake%22",,,,,,,1,58,"Married Henrietta Marie Lloyd and John Sayer Blake was their son. There is a parish document from 1781 where John, Charles, and Henrietta all become godparents to various christened children: http://mdhistory.msa.maryland.gov/msa_sc2677/msa_sc2677_scm858/pdf/msa_sc2677_scm858-0222.pdf"
Badin Bible,Blake,John,Sayer,Esq.,,[unknown],"Queen Anne's County, MD",MD,Point,38.948509,-76.164177,"Location approximate. Edward B. Carley places him just southwest of Queenstown, MD in the map in his book. See Edward B. Carley, The Origins and History of St. Peter's Church, Queenstown, Maryland, 1637-1976 (Centerville, MD: Carley, 1976), p. 34.",,"Queen Anne's County, MD",1790,Blake,John S,Queen Anne's,Queen Anne's,,72,0,2,7,63,0,"He also appears in the 1800 census, same address; add one to the Queen Anne's County count.","He likely lived in what was known as Wye-River, MD, just southeast of Blakeford, MD.",,,,,,,1,63,"Son of Charles Blake and Henrietta Marie Lloyd; he married Sarah Darnall. There is a parish document form 1781 where John, Charles, and Henrietta all become godparents to various christened children: http://mdhistory.msa.maryland.gov/msa_sc2677/msa_sc2677_scm858/pdf/msa_sc2677_scm858-0222.pdf"
Badin Bible,Boarman,Eleanor,,Miss,,Charles County,"Charles County, MD",MD,County,,,,,,,,,,,,,,,,,,"2 Eleanor Boarmans in Charles, Maryland in 1790 census. She is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366.","Whichever of the 2 Eleanors she is, she had either 10 or 11 slaves. A newspaper from 1796 lists her in Picawaxen, Charles County: https://www.newspapers.com/image/41044844/?terms=%22Eleanor%2BBoarman%22",,,,,,,1,10 or 11,
Badin Bible,Boarman,Henry,,,,[unknown],"Charles County, MD",MD,County,,,,,Charles County,1790,Boarman,Henry,Charles,Charles,,20,0,1,2,17,0,"Add one to the Charles County, MD list. There are legal docs--a will by Henry Boarman's mother, and other docs, that confirm Henry Boarman was in Charles County, MD. http://www.colonial-settlers-md-va.us/getperson.php?personID=I003076&tree=Tree1",,1750,"St. Mary's County, MD",1800,40,,,1,17,"In her 1790 will, his mother Mary Pile wants ""1000 lbs of tobacco to be paid to the Revd Mr. Francis Neale, for him to dispose of to the Poor as he may think proper."" Source: http://colonial-settlers-md-va.us/getperson.php?personID=I003076&tree=Tree1"
Badin Bible,Boarman,Joseph,,,,near Piscataway,"Piscataway, Prince George's County, MD",MD,Point,,,,,,1790,Boarman,Joseph,,,"Prince Georges, Maryland",37,1,5,1,30,,"3 Joseph Boarmans in 1790 census; RB: all three are listed as living in MD. One is in Prince Georges County, MD, which is where a Piscataway, MD is located. FIX THIS--it's plotted now in NJ. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 368. His location is ""Near Piscataway, Maryland.""","There is a Joseph Boarman, son of Thomas James, selling in plantation in 1790 out in Charles County (about 25 miles from Piscataway): https://www.newspapers.com/image/41046396/?terms=%22Joseph%2BBoarman%22.",,,,,,,1,30,"Brother of Raphael Boarman, Son of Thomas James Boarman"
Badin Bible,Boarman,Raphael,,,,"Charles County, MD","Cornwallis Neck, Charles County, MD",MD,Point,38.5728971,-77.202758,,,,1790,Boarman,Ralp.,,,"Charles, Maryland",14,,1,1,12,,"doesn't appear in 1790 census. SK: he is there, under ""Ralp. Boarman of Thomas James""","Brother of Joseph Boarman. From Cornwallis Neck, MD, based on a runaway slave ad from 1786. Buried at Saint Marys Catholic Church Cemetary in Bryantown, MD (near where Joseph Boarman tries to sell property in 1790): https://www.findagrave.com/memorial/5400735/raphael-boarman. More here: http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1",1749,,1829,41,,,1,12,"Brother of Joseph Boarman. Son of Thomas James Boarman, who died c. 1785 in Charles County. See: http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=Tree1"
