SubscriberSource,SubscriberLastName,SubscriberFirstName,SubcriberMiddleName,SubscriberTitle,SubscriberNoCopies,SubscriberLocation,PlottedLocation,State,LocationConfidenceLevel,PlottedLocation_Latitude,PlottedLocation_Longtitude,PlottedLocation_Note,PlottedLocation_Link,Preceeding.Location,CensusDate,CensusLastName,CensusFirstName,CensusAddress,CensusCity,CensusWard..County,CensusNumberOfHouseholdMembers,Under.16,Over16,Females,Slaves,All.other.Free.Persons,Notes,SK_Notes,YearBorn,Place.Born,YearDied,Age.in.1790,YearArrivedinUS,Occupation,SlaveOwner,NumberSlaves,Network,lon,lat,geoAddress,geoNote
Badin Bible,Ashton,John,,Rev.,2 copies,White-Marsh,"16501 Annapolis Rd, Bowie, MD 20715",MD,Point,NA,NA,Rev. John Ashton was posted at the White Marsh plantation. Sacred Heart Church now stands where the White Marsh chapel used to be., https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/020400/020400/html/020400sources.html,,1790,Ashton,John,,,"Prince Georges, Maryland",3,NA,3,NA,82,NA,"See Jay P Dolan, The American Catholic Experience (1985), p 87 for location of White Marsh farm, where Ashton lived. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363.",Year of birth approximate. Jesuit missionary; slave owner; one of the founders of Georgetown University. Source (including a lot on his relationship with the enslaved people): https://msa.maryland.gov/msa/speccol/sc5400/sc5496/041700/041715/html/041715.html,1742,Ireland,1815,48,1767,Jesuit missionary,1,82,Rev. John Lewis; Rev. James Walton; Rev. Robert Molyneaux; Rev. John Carroll,-76.7213416,38.9833445,"16501 annapolis rd, bowie, md 20715, usa",
Badin Bible,Beeston,Francis,,Rev.,2 copies,Bohemia,"1445 Bohemia Church Road, Warwick, MD",MD,Point,NA,NA,"Rev. Franciso Beeston, S.J., was Superior at Bohemia from 1790 to 1793. See Joseph C. Cann, History of Saint Francis Xavier Church and Bohemia Plantation, Now Known as Old Bohemia, Warwick, Maryland (Bohemia Plantation: The Society, 1976), p. 151.",https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-335.pdf,,1790,Fras,Beaston,Middleneck Hundred,,"Cecil, Maryland",51,NA,1,1,49,NA,"SK: ""Bohemia"" refers to the Bohemia mission in MD, not the place in the Czech Republic.",http://jesuitarchives.org/wp-content/uploads/2015/02/woodstock-063.pdf,1751,England,NA,39,1809,Jesuit priest,1,49,"Bohemia Plantation. Later Baltimore. John Carroll eulogized Beeston as one ""with whom he had long resided, and by whom he was constantly aided and relieved in his arduous offices, whom he cherished as a faithful counsellor and companion."" See E. I. Devitt, ñBohemia: Mission of St. Francis Xavier, Cecil County, Maryland,î Records of the American Catholic Historical Society of Philadelphia 24, no. 2 (1913): 97_139.",-75.8072612,39.4383572,"1445 bohemia church rd, warwick, md 21912, usa",
Badin Bible,Bennett,Richard,,,,[unknown],"St. Mary's County, MD",MD,County,NA,NA,,,,1790,Bennett,Richard,Unknown township,,"St. Mary's Couty, Maryland",14,1,1,3,9,0,"There are two by this name, neither from Baltimore.","Just one Richard Bennett comes up in my search of the 1790 census. In 1796, there is a newspaper notice about the land of ""the late Mr. Richard Bennett,"" but that land is in Frederick County: https://www.newspapers.com/image/41044882/?terms=%22Richard%2BBennett%22",,,NA,NA,NA,,1,9,,-76.3637285,38.1060259,"st mary's county, md, usa",
Badin Bible,Bevans,Leonard,,,,Hagers-Town,"Hagerstown, MD",MD,City,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,"His last name is spelled differently in different sources, e.g. Bevens in a newspaper ad re: selling his property in 1813 (upon his death), see here: https://www.washcolibrary.org/assets/documents/HagerstownNewspapers1810-1814.pdf. In the 1800 census, a Leonard Bevins is living 20 miles west of Hagerstown, so likely the same guy. Also: ""In 1808 Leonard Bevans, a resident of the area, donated one and one quarter acre of land to the Roman Catholic Diocese of Baltimore 'for the better convenience and advantage of the Roman Catholics residing in the neighborhood of Fifteen Mile Creek.'"" Source: MD Historical Trust Inventory Form for State Historic Sites Survey, https://mht.maryland.gov/secure/medusa/PDF/Allegany/AL-I-A-054.pdf",,,1813,NA,NA,,NA,,,-77.7199932,39.6417629,"hagerstown, md, usa",
Badin Bible,Blake,Charles,,Esq.,,"Queen Anne's County, MD","Blakeford Ln, Centreville, MD 21617",MD,Point,NA,NA,"Blakeford was the home of Chalres Blake. The original building has burned, by MD Historical Trust records identify the mansion's approximate location. See Edward B. Carley, The Origins and History of St. Peter's Church, Queenstown, Maryland, 1637-1976 (Centerville, MD: Carley, 1976), p. 30.",https://mht.maryland.gov/secure/medusa/PDF/Queen%20Annes/QA-114.pdf,,1790,Blake,Charles,Queen Anne's,Queen Anne's,,69,2,3,6,58,0,,"Pretty certain the Blakes are the owners of Blakeford, MD. If that is the case, there is quite a bit about this family, including how this Charles lost the estate. See here: https://msa.maryland.gov/megafile/msa/speccol/sc5800/sc5881/000001/000000/000200/pdf/msa_sc_5881_1_200.pdf. In 1790, a Chales Blake was sailing the Wye River with his two sons ""and a negro boy"" in addition to another man and his son when the boat overturned. The men and one of the boys survived, but the two younge sons and the black boy drowned: https://www.newspapers.com/image/38353176/?terms=%22Charles%2BBlake%22",,,NA,NA,NA,,1,58,"Married Henrietta Marie Lloyd and John Sayer Blake was their son. There is a parish document from 1781 where John, Charles, and Henrietta all become godparents to various christened children: http://mdhistory.msa.maryland.gov/msa_sc2677/msa_sc2677_scm858/pdf/msa_sc2677_scm858-0222.pdf",-76.1569099,39.0112531,"blakeford ln, centreville, md 21617, usa",
Badin Bible,Blake,John,Sayer,Esq.,,[unknown],"Queen Anne's County, MD",MD,Point,38.948509,-76.164177,"Location approximate. Edward B. Carley places him just southwest of Queenstown, MD in the map in his book. See Edward B. Carley, The Origins and History of St. Peter's Church, Queenstown, Maryland, 1637-1976 (Centerville, MD: Carley, 1976), p. 34.",,"Queen Anne's County, MD",1790,Blake,John S,Queen Anne's,Queen Anne's,,72,0,2,7,63,0,"He also appears in the 1800 census, same address; add one to the Queen Anne's County count.","He likely lived in what was known as Wye-River, MD, just southeast of Blakeford, MD.",,,NA,NA,NA,,1,63,"Son of Charles Blake and Henrietta Marie Lloyd; he married Sarah Darnall. There is a parish document form 1781 where John, Charles, and Henrietta all become godparents to various christened children: http://mdhistory.msa.maryland.gov/msa_sc2677/msa_sc2677_scm858/pdf/msa_sc2677_scm858-0222.pdf",-76.164177,38.948509,"queen anne's county, md, usa",location fixed manually
Badin Bible,Boarman,Eleanor,,Miss,,Charles County,"Charles County, MD",MD,County,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,"2 Eleanor Boarmans in Charles, Maryland in 1790 census. She is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366.","Whichever of the 2 Eleanors she is, she had either 10 or 11 slaves. A newspaper from 1796 lists her in Picawaxen, Charles County: https://www.newspapers.com/image/41044844/?terms=%22Eleanor%2BBoarman%22",,,NA,NA,NA,,1,10 or 11,,-77.1024902,38.5221781,"charles county, md, usa",
Badin Bible,Boarman,Henry,,,,[unknown],"Charles County, MD",MD,County,NA,NA,,,Charles County,1790,Boarman,Henry,Charles,Charles,,20,0,1,2,17,0,"Add one to the Charles County, MD list. There are legal docs--a will by Henry Boarman's mother, and other docs, that confirm Henry Boarman was in Charles County, MD. http://www.colonial-settlers-md-va.us/getperson.php?personID=I003076&tree=Tree1",,1750,"St. Mary's County, MD",1800,40,NA,,1,17,"In her 1790 will, his mother Mary Pile wants ""1000 lbs of tobacco to be paid to the Revd Mr. Francis Neale, for him to dispose of to the Poor as he may think proper."" Source: http://colonial-settlers-md-va.us/getperson.php?personID=I003076&tree=Tree1",-77.1024902,38.5221781,"charles county, md, usa",
Badin Bible,Boarman,Joseph,,,,near Piscataway,"Piscataway, Prince George's County, MD",MD,Point,NA,NA,,,,1790,Boarman,Joseph,,,"Prince Georges, Maryland",37,1,5,1,30,NA,"3 Joseph Boarmans in 1790 census; RB: all three are listed as living in MD. One is in Prince Georges County, MD, which is where a Piscataway, MD is located. FIX THIS--it's plotted now in NJ. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 368. His location is ""Near Piscataway, Maryland.""","There is a Joseph Boarman, son of Thomas James, selling in plantation in 1790 out in Charles County (about 25 miles from Piscataway): https://www.newspapers.com/image/41046396/?terms=%22Joseph%2BBoarman%22. He is likely brother of Raphael Boarman and priest John C. Boarman.",,,NA,NA,NA,,1,30,"Brother of Raphael Boarman and John C. Boarman (priest), Son of Thomas James Boarman",-76.9721965,38.7006716,"piscataway, accokeek, md 20735, usa",
Badin Bible,Boarman,Raphael,,,,"Charles County, MD","Cornwallis Neck, Charles County, MD",MD,Point,38.5728971,-77.202758,,,,1790,Boarman,Ralp.,,,"Charles, Maryland",14,NA,1,1,12,NA,"doesn't appear in 1790 census. SK: he is there, under ""Ralp. Boarman of Thomas James""","Brother of Joseph Boarman and of priest John C. Boarman. From Cornwallis Neck, MD, based on a runaway slave ad from 1786. Buried at Saint Marys Catholic Church Cemetary in Bryantown, MD (near where Joseph Boarman tries to sell property in 1790): https://www.findagrave.com/memorial/5400735/raphael-boarman. More here: http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=tree1",1749,,1829,41,NA,,1,12,"Brother of Joseph Boarman and John C. Boarman. Son of Thomas James Boarman, who died c. 1785 in Charles County. See: http://www.colonial-settlers-md-va.us/getperson.php?personID=I047625&tree=Tree1",-77.202758,38.5728971,"cornwallis neck, 7, pomonkey, md 20640, usa",location fixed manually
Badin Bible,Bolton,John,,Rev.,,Talbot County,"13209 Church Lane, Cordova, Maryland 21625",MD,Point,NA,NA,"John Bolton succeeded Joseph Mosley at  St. Joseph's Mission in 1787. See Raymond J. Kupke, American Catholic Preaching and Piety in the Time of John Carroll (Lanham: University Press of America, 1991) p. 179. ",https://books.google.com/books?id=UYVz8DsF_uYC&dq=%22john+bolton%22+talbot&q=john+bolton#v=snippet&q=john%20bolton&f=false,,1790,Bolton,John,Talbot,Talbot,,15,0,2,2,11,0,,"This book has some of his sermons and addresses: https://books.google.com/books?id=UYVz8DsF_uYC&pg=PA179&dq=%22john+bolton%22+talbot&hl=en&sa=X&ved=0ahUKEwjOybfNv7_bAhWm3YMKHa9MAl4Q6AEIRzAF#v=onepage&q=%22john%20bolton%22%20talbot&f=false. Also, the book ""Jesuit Slaveholding in Maryland, 1717-1838"" mentions one of Bolton's sermons.",1742,England,1809,48,1771,Jesuit priest,1,11,Succeeded Joseph Mosley at St. Joseph's on the Eastern Shore of Maryland,-76.013022,38.909909,"13209 church ln, cordova, md 21625, usa",
Badin Bible,Boulton,Richard,,,,St. Mary's County,"St. Mary's County, MD",MD,County,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,A woodworker with a connection to George Washington.,,,NA,NA,NA,Craftsman,NA,,"William Fitzhugh, George Washington. ""William Fitzhugh, George Plater's friend and stepfather-inlaw, had recommended Richard Boulton to George Washington as a craftsman whose work equaled the best. Boulton is credited with the design and supervision of the expansion of Sotterley that created an elegant entry hall and drawing room around 1770 as well as with work on other residences and churches in St. Maryês County. Boulton signed a contract with George Washington in May 1785 to finish the large room at the north end of the first floor at Mount Vernon. Washington had undertaken to send a wagon to pick up Boultonês tools at Sotterley. However, Boulton wrote back almost immediately saying he could not fulfill the contract because his creditors threatened to have him arrested if he tried to leave Maryland. Plater did not himself endorse Fitzhugh's recommendation nor write Washington about Boulton.""Fitzhugh writes a letter to GW regretting the recommendation.  Source: https://msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000864/pdf/am864.pdf#search=richard%20boulto p. 147-148.",-76.3637285,38.1060259,"st mary's county, md, usa",
